day,p5,p25,p50,p75,p95
50,10134.98647835296,11159.793569852838,11916.69167818219,12675.64075098656,13793.244815138867
51,10154.0337518798,11194.775064227619,11956.540707357904,12715.816240458136,13861.1142053602
52,10173.937715921955,11223.83309582209,11996.328115535638,12767.061178060281,13914.926012307275
53,10185.80900577288,11257.828782670753,12035.39773951708,12811.883898848426,13975.32041070102
54,10229.268109620394,11297.651991881561,12070.18633895127,12851.096464706603,14017.791813494405
55,10247.361881780243,11326.86117264281,12109.389026990675,12906.324214553977,14066.974695952109
56,10281.47991059768,11358.937786433984,12144.924683202948,12955.571224802581,14138.090282087633
57,10305.667085639507,11386.559758843927,12186.524227259235,12984.577110736163,14186.314914178643
58,10321.115711320332,11419.63359073182,12223.648710675174,13029.704094029392,14252.403109556803
59,10336.84912547302,11449.803270248858,12259.172308100937,13072.534804216455,14324.332033655906
60,10359.543592466189,11496.935558359864,12301.87114094925,13123.6507009764,14360.637062383816
61,10387.411679082812,11522.634570452694,12346.36116676396,13171.857041749281,14427.99177534027
62,10400.532384819791,11562.014549396794,12380.685004568699,13214.901947157714,14460.671415395711
63,10427.118617442675,11587.05222241294,12412.713465412533,13261.655633276798,14517.557668408332
64,10432.585108189945,11619.579652091626,12446.440120212552,13307.690117937804,14564.66030354998
65,10459.088582636594,11649.244252239801,12494.044811331432,13369.895539454967,14639.277326514179
66,10478.800580372437,11676.33613986965,12537.180601805649,13426.023251118375,14733.905374760743
67,10502.038134417095,11707.898464582917,12579.402453786191,13459.22297141377,14775.579003816325
68,10519.998108874135,11739.093986759108,12621.645448893889,13495.621715075411,14829.705258062158
69,10547.300706201677,11771.312903301856,12663.598667532937,13548.941163801179,14882.038471812826
70,10579.475418854465,11803.575806291577,12696.135505823524,13594.296971589622,14928.651846597122
71,10583.039698098628,11830.499669935762,12732.538937072703,13625.928522545984,14977.601916021918
72,10614.087053180403,11858.037523506619,12767.137752374463,13673.265991564123,15014.21405774634
73,10647.816220771509,11903.45387645949,12800.870544449886,13727.778157252915,15067.223070680042
74,10653.466545747497,11938.359906413916,12841.662205487986,13774.67098384175,15129.513635729478
75,10688.730378819702,11969.639121241436,12882.018230218775,13818.7824825781,15169.055571570483
76,10702.528865391456,12004.726986372281,12931.347527354777,13864.791673188762,15250.973094529085
77,10721.714619045013,12039.718608912703,12974.570355850723,13915.640467017649,15297.55900839741
78,10745.159898675933,12078.444373483384,13010.158198299796,13946.739858672503,15332.086478050156
79,10778.78643234567,12111.112470454013,13052.781889250575,14003.311712888628,15386.874076680078
80,10816.53497138434,12143.28133848777,13097.07540253095,14048.393830424346,15446.837052567284
81,10842.077905691298,12179.681499459224,13132.586102025463,14096.270889316833,15497.368775021076
82,10858.572622398568,12202.94965438176,13181.706503554036,14145.904221450237,15544.374140051186
83,10892.665498629745,12227.62260867396,13220.98034162648,14182.9029800319,15579.408645007736
84,10932.473055881012,12265.080185065184,13258.528171423042,14239.367474834746,15643.652957529142
85,10953.004441181727,12297.351877952147,13298.12716271238,14289.663227942208,15694.615244339539
86,10974.428818742888,12343.644241776023,13340.236505277875,14335.020711480309,15734.764603767371
87,11002.250067889094,12366.100119078206,13375.918647568742,14370.871345720505,15805.65482932823
88,11029.64051392216,12401.38422317195,13413.150004971769,14414.208482097669,15887.111304709617
89,11055.711825787212,12434.745363663504,13443.674630094127,14455.990841902283,15935.692544495174
90,11080.994930414252,12468.377741035474,13492.129063973733,14505.870844710189,15986.020696692074
91,11102.579745683624,12495.6716350105,13528.453153389033,14547.99962002804,16039.280184520752
92,11121.807758214425,12522.610128731883,13558.285159910225,14603.725155265583,16070.108837441248
93,11128.915258648676,12562.161878627743,13593.237904791444,14645.805503813894,16142.44647918351
94,11176.617469894225,12603.099432442732,13635.31616779621,14692.913488626424,16204.983387379807
95,11199.353455266686,12640.888188963145,13677.956010944206,14743.18155282761,16258.119410277517
96,11193.11965092779,12677.344663104845,13713.908852243248,14791.020987651067,16312.179782908797
97,11211.376276934545,12708.013032703657,13745.726991619847,14823.054483748918,16355.850062824165
98,11222.977162895784,12737.158467803747,13774.006063932655,14869.648744914271,16399.39387695943
99,11272.61425890863,12768.664476972666,13812.612742878955,14918.573991073172,16469.873382124548
