trade_number,equity_p1_path,equity_p5_path,equity_p95_path
58,11081.852160168428,11114.78392735424,13583.91872108131
59,11092.872750776974,11259.771076082177,13728.451734477834
60,10992.872750776974,11159.771076082177,13628.451734477834
61,11008.459834992767,11059.771076082177,13729.321150580037
62,11017.991400104353,11200.31997076651,13740.256100034288
63,11235.45171756467,11211.981229499592,13802.23412201231
64,11313.49752941607,11111.981229499592,13702.23412201231
65,11358.144931769652,11371.462796319869,13736.928444631234
66,11370.476202031956,11271.462796319869,13636.928444631234
67,11783.48133643244,11280.994361431454,13658.87966414343
68,11927.942489314644,11180.994361431454,13799.428558827762
69,11937.474054426231,11080.994361431454,13811.16040240318
70,12043.65962143654,11221.543256115787,13825.4404370808
71,11903.65962143654,11261.233313957106,13832.462554599066
72,11994.467702244621,11275.51902824282,13885.104581211264
73,12139.000715641145,11175.51902824282,13926.94855284247
74,12150.732559216563,11217.362999874025,13937.801098356122
75,12050.732559216563,11333.770964519737,13958.739286762811
76,12151.601975318768,11233.770964519737,13858.739286762811
77,12296.063128200973,11133.770964519737,13904.724688222666
78,12156.063128200973,11348.80126755004,13920.092415178937
79,12415.54469502125,11989.54200829078,13956.187224901147
80,12675.026261841525,11889.54200829078,13856.187224901147
81,12724.400794025867,11789.54200829078,13868.518495163453
82,12584.400794025867,12016.042135669124,13878.050060275038
83,12444.400794025867,11916.042135669124,13900.001279787233
84,12490.38619548572,11940.886129883163,13961.979301765256
85,12505.993131901905,11840.886129883163,13841.979301765256
86,12365.993131901905,11918.931941734565,14482.720042505996
87,12388.782844692614,11818.931941734565,14895.725176906479
88,12407.470604755312,11843.775935948604,14906.745767515025
89,12472.878645037259,11743.775935948604,14806.745767515025
90,12478.803130754264,11758.055970626225,15033.245894893367
91,12490.534974329683,11618.055970626225,14933.245894893367
92,12497.55709184795,11667.430502810565,14944.977738468788
93,12533.205047495905,11567.430502810565,15089.438891350992
94,12677.666200378111,11784.890820270883,14949.438891350992
95,12689.39804395353,12002.351137731199,14956.461008869257
96,12589.39804395353,12643.09187847194,15031.899608438356
97,12848.879610773807,12659.064098300478,14931.899608438356
98,12861.210881036111,12876.524415760796,15048.307573084068
99,12923.282471342996,12969.811908466574,15064.279792912606
100,12823.282471342996,12976.834025984841,14964.279792912606
101,12965.642918529542,12876.834025984841,14824.279792912606
